State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Sep 17 2021,151488,140234,1030
United States,Sep 16 2021,159675,142888,1313
United States,Sep 15 2021,162408,147154,1604
United States,Sep 14 2021,154535,149678,1430
United States,Sep 13 2021,111822,143054,164
United States,Sep 12 2021,104075,141081,79
United States,Sep 11 2021,137636,142145,527
United States,Sep 10 2021,170071,142908,946
United States,Sep  9 2021,189533,144753,1046
United States,Sep  8 2021,180075,143608,1826
United States,Sep  7 2021,108169,145116,1075
United States,Sep  6 2021,98009,155337,823
United States,Sep  5 2021,111526,159257,277
United States,Sep  4 2021,142974,159474,417
United States,Sep  3 2021,182987,160058,884
United States,Sep  2 2021,181522,160007,1214
United States,Sep  1 2021,190625,160712,1159
United States,Aug 31 2021,179718,160599,1102
United States,Aug 30 2021,125453,159839,406
United States,Aug 29 2021,113039,159090,179
United States,Aug 28 2021,147066,159952,361
United States,Aug 27 2021,182626,159483,783
United States,Aug 26 2021,186459,157223,585
United States,Aug 25 2021,189833,154611,637
United States,Aug 24 2021,174401,152762,667
United States,Aug 23 2021,120212,150649,341
United States,Aug 22 2021,119070,149493,70
United States,Aug 21 2021,143785,147935,376
United States,Aug 20 2021,166806,147116,2281
United States,Aug 19 2021,168174,144622,670
United States,Aug 18 2021,176888,142999,1280
United States,Aug 17 2021,159610,139731,536
United States,Aug 16 2021,112119,137339,251
United States,Aug 15 2021,108164,135078,74
United States,Aug 14 2021,138053,133064,167
United States,Aug 13 2021,149352,130735,607
United States,Aug 12 2021,156809,127425,631
United States,Aug 11 2021,154014,123817,549
United States,Aug 10 2021,142862,120406,487
United States,Aug  9 2021,96292,116739,385
United States,Aug  8 2021,94072,114627,42
United States,Aug  7 2021,121745,111836,99
United States,Aug  6 2021,126183,107723,8113
United States,Aug  5 2021,131557,105100,665
United States,Aug  4 2021,130131,100644,640
United States,Aug  3 2021,117197,95758,748
United States,Aug  2 2021,81504,91505,131
United States,Aug  1 2021,74539,88178,44
United States,Jul 31 2021,92954,84952,164
United States,Jul 30 2021,107819,80445,691
United States,Jul 29 2021,100369,75043,391
United States,Jul 28 2021,95928,70864,436
United States,Jul 27 2021,87424,66523,424
United States,Jul 26 2021,58219,61629,54
United States,Jul 25 2021,51951,58686,44
United States,Jul 24 2021,61408,56259,138
United States,Jul 23 2021,70004,52882,533
United States,Jul 22 2021,71119,49146,457
United States,Jul 21 2021,65542,45095,301
United States,Jul 20 2021,53160,41600,309
United States,Jul 19 2021,37623,39115,301
United States,Jul 18 2021,34963,37228,45
United States,Jul 17 2021,37763,35171,71
United States,Jul 16 2021,43853,33243,179
United States,Jul 15 2021,42761,31155,263
United States,Jul 14 2021,41078,29415,240
United States,Jul 13 2021,35768,27060,156
United States,Jul 12 2021,24416,24352,85
United States,Jul 11 2021,20558,22449,83
United States,Jul 10 2021,24271,21288,123
United States,Jul  9 2021,29234,19999,686
United States,Jul  8 2021,30581,18288,101
United States,Jul  7 2021,24594,16615,203
United States,Jul  6 2021,16812,15641,71
United States,Jul  5 2021,11098,15581,34
United States,Jul  4 2021,12430,15545,27
United States,Jul  3 2021,15249,15135,111
United States,Jul  2 2021,17258,14820,129
United States,Jul  1 2021,18867,14407,122
United States,Jun 30 2021,17779,13927,136
United States,Jun 29 2021,16392,13470,122
United States,Jun 28 2021,10843,13129,44
United States,Jun 27 2021,9558,12800,58
United States,Jun 26 2021,13048,12723,0
United States,Jun 25 2021,14363,12609,0
United States,Jun 24 2021,15508,12237,0
United States,Jun 23 2021,14579,11969,0
United States,Jun 22 2021,14010,11834,0
United States,Jun 21 2021,8537,11720,0
United States,Jun 20 2021,9016,11706,0
United States,Jun 19 2021,12252,11635,0
United States,Jun 18 2021,11759,11614,0
United States,Jun 17 2021,13630,11971,0
United States,Jun 16 2021,13634,12361,0
United States,Jun 15 2021,13218,13192,0
United States,Jun 14 2021,8437,13382,0
United States,Jun 13 2021,8517,13644,0
United States,Jun 12 2021,12104,13968,0
United States,Jun 11 2021,14260,14326,0
United States,Jun 10 2021,16361,14933,1
United States,Jun  9 2021,19450,15309,464
United States,Jun  8 2021,14546,14953,0
United States,Jun  7 2021,10270,14211,0
United States,Jun  6 2021,10787,14033,0
United States,Jun  5 2021,14610,14162,0
United States,Jun  4 2021,18510,14317,0
United States,Jun  3 2021,18992,14593,0
United States,Jun  2 2021,16959,14999,0
United States,Jun  1 2021,9354,15965,0
United States,May 31 2021,9022,18087,1
United States,May 30 2021,11692,19082,0
United States,May 29 2021,15696,19551,0
United States,May 28 2021,20440,20390,0
United States,May 27 2021,21831,21449,0
United States,May 26 2021,23725,22268,0
United States,May 25 2021,24206,22930,0
United States,May 24 2021,15988,23593,0
United States,May 23 2021,14971,24138,0
United States,May 22 2021,21573,24931,0
United States,May 21 2021,27855,25928,0
United States,May 20 2021,27561,26785,0
United States,May 19 2021,28357,27911,0
United States,May 18 2021,28850,28911,0
United States,May 17 2021,19802,29782,0
United States,May 16 2021,20519,30504,0
United States,May 15 2021,28552,31305,42
United States,May 14 2021,33854,32366,0
United States,May 13 2021,35448,33773,0
United States,May 12 2021,35357,34876,0
United States,May 11 2021,34944,36351,0
United States,May 10 2021,24856,37728,0
United States,May  9 2021,26128,38966,0
United States,May  8 2021,35977,40262,0
United States,May  7 2021,43704,41862,0
United States,May  6 2021,43171,43459,0
United States,May  5 2021,45680,45479,0
United States,May  4 2021,44581,46869,0
United States,May  3 2021,33522,48066,0
United States,May  2 2021,35205,48948,0
United States,May  1 2021,47171,49567,0
United States,Apr 30 2021,54884,50228,0
United States,Apr 29 2021,57312,51506,0
United States,Apr 28 2021,55410,52025,0
United States,Apr 27 2021,52962,53288,0
United States,Apr 26 2021,39697,54508,-9005
United States,Apr 25 2021,39533,53798,0
United States,Apr 24 2021,51804,54958,0
United States,Apr 23 2021,63826,58064,0
United States,Apr 22 2021,60949,59089,0
United States,Apr 21 2021,64246,61016,0
United States,Apr 20 2021,61502,62402,0
United States,Apr 19 2021,34729,64323,0
United States,Apr 18 2021,47656,68047,0
United States,Apr 17 2021,73540,68366,0
United States,Apr 16 2021,71002,67242,0
United States,Apr 15 2021,74437,68430,0
United States,Apr 14 2021,73951,68639,0
United States,Apr 13 2021,74951,69396,0
United States,Apr 12 2021,60795,68233,0
United States,Apr 11 2021,49890,67668,0
United States,Apr 10 2021,65673,66804,0
United States,Apr  9 2021,79316,66313,72
United States,Apr  8 2021,75897,64895,0
United States,Apr  7 2021,79253,64584,0
United States,Apr  6 2021,66810,63702,0
United States,Apr  5 2021,56841,63209,0
United States,Apr  4 2021,43838,63308,0
United States,Apr  3 2021,62240,64399,0
United States,Apr  2 2021,69391,64383,0
United States,Apr  1 2021,73721,65450,0
United States,Mar 31 2021,73074,64411,0
United States,Mar 30 2021,63359,63782,0
United States,Mar 29 2021,57537,63221,0
United States,Mar 28 2021,51475,62028,0
United States,Mar 27 2021,62124,60862,0
United States,Mar 26 2021,76862,60061,0
United States,Mar 25 2021,66452,57839,0
United States,Mar 24 2021,68667,57294,0
United States,Mar 23 2021,59434,56340,0
United States,Mar 22 2021,49184,55597,0
United States,Mar 21 2021,43315,54784,0
United States,Mar 20 2021,56518,54613,0
United States,Mar 19 2021,61308,54025,0
United States,Mar 18 2021,62633,54151,0
United States,Mar 17 2021,61992,53668,0
United States,Mar 16 2021,54230,53220,0
United States,Mar 15 2021,43497,53212,0
United States,Mar 14 2021,42119,53024,0
United States,Mar 13 2021,52396,52976,0
United States,Mar 12 2021,62194,53414,0
United States,Mar 11 2021,59251,53451,0
United States,Mar 10 2021,58859,54216,0
United States,Mar  9 2021,54174,55162,891
United States,Mar  8 2021,42178,55206,0
United States,Mar  7 2021,41783,56528,0
United States,Mar  6 2021,55462,57526,0
United States,Mar  5 2021,62455,59034,0
United States,Mar  4 2021,64603,60306,0
United States,Mar  3 2021,65481,61016,0
United States,Mar  2 2021,54484,61977,0
United States,Mar  1 2021,51430,64428,0
United States,Feb 28 2021,48768,64960,0
United States,Feb 27 2021,66020,65409,0
United States,Feb 26 2021,71358,65143,0
United States,Feb 25 2021,69571,64941,0
United States,Feb 24 2021,72213,64928,0
United States,Feb 23 2021,71642,64136,0
United States,Feb 22 2021,55148,62028,0
United States,Feb 21 2021,51914,62067,0
United States,Feb 20 2021,64155,63540,0
United States,Feb 19 2021,69950,65974,0
United States,Feb 18 2021,69479,69524,0
United States,Feb 17 2021,66669,73544,0
United States,Feb 16 2021,56886,78288,0
United States,Feb 15 2021,55417,83380,0
United States,Feb 14 2021,62225,86783,0
United States,Feb 13 2021,81196,89587,0
United States,Feb 12 2021,94799,93146,0
United States,Feb 11 2021,97622,97002,0
United States,Feb 10 2021,99874,100643,0
United States,Feb  9 2021,92528,102999,0
United States,Feb  8 2021,79241,106267,0
United States,Feb  7 2021,81849,112932,0
United States,Feb  6 2021,106111,115665,0
United States,Feb  5 2021,121792,119168,0
United States,Feb  4 2021,123112,124592,0
United States,Feb  3 2021,116363,129498,0
United States,Feb  2 2021,115402,136341,0
United States,Feb  1 2021,125896,140858,0
United States,Jan 31 2021,100983,140269,0
United States,Jan 30 2021,130630,145068,0
United States,Jan 29 2021,159762,149770,0
United States,Jan 28 2021,157451,154197,0
United States,Jan 27 2021,164267,159884,0
United States,Jan 26 2021,147018,164056,0
United States,Jan 25 2021,121775,164103,0
United States,Jan 24 2021,134577,166873,0
United States,Jan 23 2021,163545,170937,0
United States,Jan 22 2021,190752,176842,0
United States,Jan 21 2021,197259,182404,0
United States,Jan 20 2021,193470,186844,0
United States,Jan 19 2021,147346,193536,584
United States,Jan 18 2021,141163,202510,0
United States,Jan 17 2021,163025,209625,0
United States,Jan 16 2021,204883,215990,0
United States,Jan 15 2021,229685,221769,0
United States,Jan 14 2021,228336,230864,0
United States,Jan 13 2021,240320,239842,0
United States,Jan 12 2021,210163,247374,0
United States,Jan 11 2021,190963,253000,0
United States,Jan 10 2021,207580,254000,0
United States,Jan  9 2021,245336,249954,0
United States,Jan  8 2021,293350,243891,0
United States,Jan  7 2021,291187,233019,0
United States,Jan  6 2021,293040,231303,0
United States,Jan  5 2021,249544,228938,0
United States,Jan  4 2021,197963,225264,0
United States,Jan  3 2021,179258,223753,0
United States,Jan  2 2021,202901,215209,0
United States,Jan  1 2021,217245,206179,0
United States,Dec 31 2020,279176,197470,0
United States,Dec 30 2020,276484,188832,0
United States,Dec 29 2020,223823,184128,0
United States,Dec 28 2020,187385,180371,0
United States,Dec 27 2020,119450,178030,0
United States,Dec 26 2020,139693,186575,0
United States,Dec 25 2020,156279,195789,0
United States,Dec 24 2020,218715,207805,0
United States,Dec 23 2020,243554,211299,0
United States,Dec 22 2020,197521,210635,0
United States,Dec 21 2020,171002,210817,0
United States,Dec 20 2020,179263,213652,0
United States,Dec 19 2020,204191,214452,0
United States,Dec 18 2020,240392,217253,0
United States,Dec 17 2020,243175,219283,0
United States,Dec 16 2020,238903,216637,0
United States,Dec 15 2020,198795,215885,0
United States,Dec 14 2020,190847,220383,0
United States,Dec 13 2020,184867,219610,0
United States,Dec 12 2020,223793,218543,0
United States,Dec 11 2020,254605,217132,0
United States,Dec 10 2020,224651,215081,0
United States,Dec  9 2020,233637,217404,0
United States,Dec  8 2020,230283,216576,0
United States,Dec  7 2020,185436,213262,0
United States,Dec  6 2020,177398,209434,0
United States,Dec  5 2020,213918,204391,0
United States,Dec  4 2020,240248,193931,0
United States,Dec  3 2020,240911,183470,0
United States,Dec  2 2020,227838,170995,0
United States,Dec  1 2020,207085,167532,0
United States,Nov 30 2020,158641,163907,0
United States,Nov 29 2020,142101,164387,0
United States,Nov 28 2020,140698,165972,0
United States,Nov 27 2020,167022,170963,0
United States,Nov 26 2020,153586,175635,0
United States,Nov 25 2020,203596,181896,0
United States,Nov 24 2020,181710,179301,0
United States,Nov 23 2020,161998,178149,0
United States,Nov 22 2020,153195,176625,0
United States,Nov 21 2020,175637,174508,0
United States,Nov 20 2020,199727,173097,0
United States,Nov 19 2020,197414,170909,0
United States,Nov 18 2020,185430,166781,0
United States,Nov 17 2020,173647,163435,0
United States,Nov 16 2020,151325,160835,0
United States,Nov 15 2020,138379,156971,0
United States,Nov 14 2020,165759,152773,0
United States,Nov 13 2020,184411,147854,0
United States,Nov 12 2020,168517,141479,0
United States,Nov 11 2020,162008,135913,0
United States,Nov 10 2020,155449,129979,0
United States,Nov  9 2020,124276,122690,0
